HIA97555.1	ADE02657.1	48.555	173	86	2	7	179	21	190	1.75e-36	127
HIA97557.1	ADE04813.1	39.785	186	104	2	21	198	58	243	1.29e-41	139
HIA97560.1	ADE04246.1	41.704	223	111	6	14	234	13	218	7.50e-46	150
HIA97562.1	ADE03365.1	26.801	347	226	13	167	496	209	544	9.73e-24	101
HIA97565.1	ADE02891.1	37.255	408	250	3	1	408	38	439	9.03e-89	278
HIA97566.1	ADE01598.1	32.432	444	263	9	1	422	1	429	6.99e-43	155
HIA97570.1	ADE04753.1	52.941	187	83	2	34	215	48	234	5.05e-61	196
HIA97573.1	ADE02798.1	30.588	340	211	8	1	333	1	322	7.58e-32	120
HIA97575.1	ADE02779.1	41.964	224	113	6	1	212	99	317	4.38e-53	170
HIA97576.1	ADE02815.1	34.985	666	350	23	30	691	4	590	1.72e-96	310
HIA97581.1	ADE02411.1	46.316	285	137	6	5	273	4	288	8.02e-79	237
HIA97583.1	ADE02553.1	49.331	598	288	6	3	585	6	603	0.0	609
HIA97586.1	ADE04973.1	32.338	201	130	3	2	199	1	198	2.42e-31	110
HIA97587.1	ADE04925.1	39.286	140	78	4	2	137	3	139	2.12e-23	86.3
HIA97588.1	ADE03822.1	39.381	226	120	6	15	236	14	226	5.02e-47	152
HIA97591.1	ADE03484.1	31.535	241	154	7	6	240	26	261	3.50e-32	117
HIA97592.1	ADE05108.1	55.774	407	165	7	2	402	13	410	1.09e-149	432
HIA97594.1	ADE03459.1	42.416	389	213	5	1	388	1	379	2.14e-100	300
HIA97595.1	ADE03528.1	42.969	128	60	1	2	116	1	128	2.69e-29	99.8
HIA97596.1	ADE02740.1	30.636	346	207	12	16	339	21	355	2.27e-37	134
HIA97597.1	ADE05033.1	51.020	245	120	0	2	246	80	324	1.38e-84	252
HIA97598.1	ADE04421.1	55.232	583	254	3	1	580	1	579	0.0	620
HIA97601.1	ADE04797.1	32.938	337	216	5	16	347	18	349	1.05e-54	182
HIA97603.1	ADE03838.1	40.523	459	219	10	7	413	4	460	9.94e-104	312
HIA97604.1	ADE04921.1	35.377	212	127	4	1	204	30	239	1.10e-28	107
HIA97606.1	ADE03335.1	39.091	220	130	2	2	217	3	222	1.89e-43	145
HIA97608.1	ADE03937.1	43.114	167	91	2	6	168	9	175	1.45e-44	142
HIA97609.1	ADE03166.1	30.513	390	237	14	3	374	2	375	1.33e-32	122
HIA97610.1	ADE03415.1	43.363	113	64	0	1	113	1	113	2.15e-31	105
HIA97612.1	ADE02455.1	33.466	251	156	6	12	257	4	248	4.72e-34	120
HIA97613.1	ADE03172.1	25.604	414	250	8	37	446	12	371	3.12e-30	119
HIA97615.1	ADE02529.1	54.167	216	98	1	3	218	15	229	5.51e-86	254
HIA97616.1	ADE03487.1	52.727	385	178	2	7	387	2	386	9.65e-149	423
HIA97620.1	ADE03132.1	35.659	258	155	4	1	248	1	257	1.52e-40	137
HIA97621.1	ADE04353.1	38.701	354	198	8	2	348	3	344	6.85e-81	248
HIA97622.1	ADE02870.1	47.768	672	288	12	6	637	19	667	0.0	597
HIA97622.1	ADE02870.1	34.949	392	238	5	6	392	582	961	8.52e-65	228
